track_id,genre
000002.mp3,Hip-Hop
000005.mp3,Hip-Hop
000010.mp3,Pop
000140.mp3,Folk
000141.mp3,Folk
000148.mp3,Avant-Garde
000182.mp3,Lo-Fi
000190.mp3,Folk
000193.mp3,Folk
000194.mp3,Folk
000197.mp3,Folk
000200.mp3,Folk
000203.mp3,Folk
000204.mp3,Folk
000207.mp3,Folk
000210.mp3,Folk
000211.mp3,Folk
000212.mp3,Folk
000213.mp3,Pop
000255.mp3,Rock
000256.mp3,Metal
000368.mp3,Post-Punk
000424.mp3,Avant-Garde
000459.mp3,Krautrock
000534.mp3,Folk
000540.mp3,Folk
000546.mp3,Folk
000574.mp3,Punk
000602.mp3,Folk
000615.mp3,Electroacoustic
000620.mp3,Folk
000621.mp3,Folk
000625.mp3,Folk
000666.mp3,Reggae - Dub
000667.mp3,Reggae - Dub
000676.mp3,Hip-Hop
000690.mp3,Rock
000694.mp3,Hip-Hop
000695.mp3,Hip-Hop
000704.mp3,Latin America
000705.mp3,Latin America
000706.mp3,Latin America
000707.mp3,Latin America
000708.mp3,Latin America
000709.mp3,Latin America
000714.mp3,Folk
000715.mp3,Folk
000716.mp3,Folk
000718.mp3,Folk
000777.mp3,Rock
000814.mp3,Folk
000821.mp3,Pop
000822.mp3,Pop
000825.mp3,Rock
000853.mp3,International
000890.mp3,Free-Folk
000892.mp3,Free-Folk
000897.mp3,Noise
000993.mp3,Rock
000995.mp3,Noise
000997.mp3,Noise
000998.mp3,Noise
001039.mp3,Noise-Rock
001040.mp3,Noise-Rock
001066.mp3,Audio Collage
001069.mp3,Audio Collage
001073.mp3,Audio Collage
001075.mp3,Audio Collage
001082.mp3,International
001083.mp3,Avant-Garde
001087.mp3,Rock
001102.mp3,Rock
001193.mp3,Folk
001195.mp3,Folk
001196.mp3,Folk
001197.mp3,Folk
001249.mp3,Noise
001259.mp3,Noise
001270.mp3,Punk
001276.mp3,Audio Collage
001277.mp3,Audio Collage
001278.mp3,Audio Collage
001417.mp3,Rock
001427.mp3,Rock
001443.mp3,Drone
001482.mp3,Electronic
001510.mp3,Noise
001544.mp3,Psych-Folk
001642.mp3,Pop
001644.mp3,Pop
001649.mp3,Pop
001661.mp3,Pop
001663.mp3,Pop
001666.mp3,Pop
001673.mp3,Field Recordings
001680.mp3,International
001681.mp3,International
001682.mp3,International
001683.mp3,International
001684.mp3,International
001685.mp3,International
001686.mp3,International
001687.mp3,International
001688.mp3,International
001689.mp3,International
001701.mp3,Folk
001702.mp3,Folk
001703.mp3,Folk
001704.mp3,Folk
001706.mp3,Rock
001720.mp3,Psych-Rock
001732.mp3,Experimental
001733.mp3,Experimental
001735.mp3,Experimental
001736.mp3,Experimental
001883.mp3,Rock
001891.mp3,Rock
001893.mp3,Folk
001924.mp3,Folk
001925.mp3,Folk
001929.mp3,Avant-Garde
001930.mp3,Progressive
002012.mp3,Noise
002096.mp3,Experimental
002097.mp3,Folk
002099.mp3,Experimental Pop
003263.mp3,Folk
003264.mp3,Folk
003265.mp3,Folk
003266.mp3,Folk
003270.mp3,Folk
003271.mp3,Folk
003272.mp3,Folk
003273.mp3,Folk
003274.mp3,Folk
003492.mp3,Rock
003532.mp3,Experimental Pop
003533.mp3,Experimental Pop
003534.mp3,Experimental Pop
003535.mp3,Experimental Pop
